step,location,node,text
36,Horseshoe Overlook,eastward-bound_post_0,Listen to Karen/Tilly/Mary-Beth talk about being bored
37,San Luis River,a-fisher-of-fish,[off camera] Meet Jeremy Gill to clear the marker
,Near Horseshoe Overlook,a-test-of-faith,[off camera] Meet Deborah MacGuiness to clear the marker
,Aberdeen Pig Farm,aberdeen-pig-farm,"Stop at the farm, go inside the house, get robbed and thrown in the pit"
,Flatneck Station,all-that-glitters,Meet Maximo and buy his map for $5 (refuse first offer)
,Valentine,american-dreams,"Find the corpse under the railway bridge, on the way back to camp"
,Appleseed Timber,appleseed-timber,Appleseed Timber
,Lake Isabella,arabian,Tame and ride the white arabian horse
,Riggs Station,arcadia-for-amateurs-part-one,"Meet Mason, help him photograph the coyote"
,Elysian Pool,beaver-tooth-trinket,Kill the legendary beaver
,Horseshoe Overlook,book,Pick up Hosea's book while he is in/near his tent
,Big Valley,buck-antler-trinket,Kill the legendary buck
,Castor's Ridge,castors-ridge,Castor's Ridge
,Flat Iron Lake,cat-eye-trinket,Get the trinket from the lockbox on southernmost island (increase length of fortifying tonic)
,Cumberland Forest,elk-antler-trinket,Kill the legendary elk
,Horseshoe Overlook,five-dollars,Talk to Abigail when she is complaining about Jack's clothes
,Horseshoe Overlook,fountain-pen,Speak to Mary-Beth when she is writing
,Strawberry,geology-for-beginners,Meet Francis at his hut
,Deadboot Creek,hawk-talon-trinket,Get the trinket from the lockbox by waterfall (decrease stamina draink when drawing bow)
,Obelisk,landmarks-of-riches,Find treasure map inside
,Cotorra Springs,loot-crashed-train,Loot the crashed train (gold bars)
,Horseshoe Overlook,pipe,"Talk to Dutch while he is smoking a cigar, right after arrival"
,Horseshoe Overlook,poison-knives,Talk to Javier while he is making poison knives
,Cairn Lake,poisonous-trail,Find treasure map inside lockbox
,Horseshoe Overlook,rabbit,Talk to Pearson while he is drinking beer between 8am and noon
,Railroad Camp,railroad-camp,Railroad Camp
,Flatneck Station,smoking-and-other-hobbies,[off camera] Meet Phineas T Ramsbottom to clear the marker
,Horseshoe Overlook,speech-notes,Find Dutch's speech notes on table beside broken wagon
,Horseshoe Overlook,thimble,"Talk to Jack, he requests a thimble"
38,San Luis River,a-fisher-of-fish_end,
,Near Horseshoe Overlook,a-test-of-faith_end,
,Aberdeen Pig Farm,aberdeen-pig-farm_0,"Return, hogtie Tammy and take her to the pit"
,Caliban's Seat,all-that-glitters_0,Get the second treasure map
,Valentine,american-dreams_end,
,Appleseed Timber,appleseed-timber_0,"Speak to the foreman, sell him provisions (for profit, so stock up)"
,Lake Isabella,arabian_end,
,Riggs Station,arcadia-for-amateurs-part-one_end,
,Elysian Pool,beaver-tooth-trinket_end,
,Hagen Orchards,book_0,Loot the book
,Big Valley,buck-antler-trinket_end,
,Castor's Ridge,castors-ridge_0,Watch the farmer and sons putting up the house
,Flat Iron Lake,cat-eye-trinket_end,
,Cumberland Forest,elk-antler-trinket_end,
,Horseshoe Overlook,five-dollars_0,Give Abigail $5
,Osman Grove,fountain-pen_end,
,Strawberry,geology-for-beginners_end,
,Deadboot Creek,hawk-talon-trinket_end,
,Tiny Church,landmarks-of-riches_0,Get the second treasure map
,Cotorra Springs,loot-crashed-train_end,
,Vetter's Echo,pipe_0,Loot the pipe
,Horseshoe Overlook,poison-knives_0,Find some oleander sage
,Face Rock,poisonous-trail_0,Get the second treasure map
,Horseshoe Overlook,rabbit_0,"Bag a rabbit, but don't skin it"
,Railroad Camp,railroad-camp_0,"Speak to the foreman, find the thief"
,Flatneck Station,smoking-and-other-hobbies_end,
,Horseshoe Overlook,speech-notes_end,
,Horseshoe Overlook,thimble_end,
39,Wallace Station,american-dreams_post_0,Find the corpse on the rocks
40,Bolger Glade,american-dreams_post_1,Find the corpse on the tree
41,Lucky's Cabin,american-dreams_post_2,"Confront Lowry, get knocked out, kill him"
42,Valentine,american-dreams_post_3,"Return Lowry to the sheriff, be sure to save the sheriff"
43,Mount Hagen,geology-for-beginners_post_0,Find the rock carving
44,Whinyard Strait,geology-for-beginners_post_1,Find the rock carving
45,Fort Wallace,geology-for-beginners_post_2,Find the rock carving
46,Cumberland Forest,geology-for-beginners_post_3,Find the rock carving
47,Owanjilla,geology-for-beginners_post_4,Find the rock carving
48,Mount Shann,geology-for-beginners_post_5,Find the rock carving
49,Flatneck Station,geology-for-beginners_post_6,Find the rock carving
50,Deer Cottage,geology-for-beginners_post_7,Find the rock carving
51,Moonstone Pond,geology-for-beginners_post_8,Find the rock carving
52,Elysian Pool,geology-for-beginners_post_9,Find the rock carving
53,Strawberry,geology-for-beginners_post_10,"After mailing the carving locations, visit Francis at his hut again, then return to inspect the map and loot"
54,Fence,geology-for-beginners_post_11,"After receiving the Old Brass Compass, get the raven claw talisman (slows weapon degradation)"
55,Horseshoe Overlook,fountain-pen_post_1,Give Mary-Beth fountain pen
56,Horseshoe Overlook,thimble_post_0,"Once looted, give Jack the thimble"
57,Aberdeen Pig Farm,aberdeen-pig-farm_1,"Loot the house, get money back from behind painting"
,Cotorra Springs,all-that-glitters_1,Get the third treasure map
,Appleseed Timber,appleseed-timber_1,"Help free the chap trapped under the fallen tree, give him $5"
,Wallace Station,arcadia-for-amateurs-part-two,Help Mason photograph some wolves
,Horseshoe Overlook,book_end,
,Horseshoe Overlook,camp-chores,"Do your chores each morning, and talk to people"
,Horseshoe Overlook,camp-supplies,Camp Supplies
,Castor's Ridge,castors-ridge_1,Rescue the farmer from extortionists
,Horseshoe Overlook,five-dollars_end,
,Mysterious Hill Home,landmarks-of-riches_1,Get the third treasure map
,Horseshoe Overlook,pipe_end,
,Horseshoe Overlook,poison-knives_end,
,Serpent Mound,poisonous-trail_1,Get the third treasure map
,Horseshoe Overlook,rabbit_end,
,Railroad Camp,railroad-camp_1,"Speak to the foreman, go retrieve land deed"
,Horseshoe Overlook,replenish-supplies,Make sure you have supplies on you before starting anything
,Horseshoe Overlook,return-to-camp,Always return to camp before 3 days have passed
,Horseshoe Overlook,weapon-care,Clean your weapons and improve your ammo before starting anything
,Horseshoe Overlook,who-is-not-without-sin,Get someone to mention Swanson has gone
58,Clemens Point,book_post_0,Give Hosea the book
59,Horseshoe Overlook,pipe_post_0,Give Dutch the pipe
60,Horseshoe Overlook,poison-knives_post_0,Give Javier the oleander sage
61,Horseshoe Overlook,rabbit_post_0,Give Pearson the rabbit carcass
62,Aberdeen Pig Farm,aberdeen-pig-farm_end,
,O'Creagh's Run,all-that-glitters_2,Get the treasure
,Appleseed Timber,appleseed-timber_2,"Speak to the foreman, kill the wolves"
,Wallace Station,arcadia-for-amateurs-part-two_end,
,Horseshoe Overlook,camp-chores_end,
,Horseshoe Overlook,camp-supplies_end,
,Castor's Ridge,castors-ridge_2,Help the farmer get some lumber
,Bolger Glade,landmarks-of-riches_2,Get the fourth treasure map
,Elysian Pool,poisonous-trail_2,Get the treasure
,Railroad Camp,railroad-camp_2,"Speak to the foreman, get some supplies"
,Horseshoe Overlook,replenish-supplies_end,
,Horseshoe Overlook,return-to-camp_end,
,Horseshoe Overlook,weapon-care_end,
,Flatneck Station,who-is-not-without-sin_0,"Find Swanson, play poker, find Swanson again"
63,Horseshoe Overlook,camp-supplies_post_0,Hunt food whenever camp supplies run low
64,Flatneck Station,all-that-glitters_end,
,Appleseed Timber,appleseed-timber_3,Visit the abandoned camp
,Castor's Ridge,castors-ridge_3,"Say goodbye to the farmer, who has sold up"
,Mount Shann,landmarks-of-riches_3,Get the treasure
,Cairn Lake,poisonous-trail_end,
,Railroad Camp,railroad-camp_3,Ride along the completed railroad
,Flatneck Station,who-is-not-without-sin_1,"Beat stranger, rope witness (try to finish with camera facing bridge)"
65,Appleseed Timber,appleseed-timber_end,
,Castor's Ridge,castors-ridge_end,
,Obelisk,landmarks-of-riches_end,
,Railroad Camp,railroad-camp_end,
,Flatneck Station,who-is-not-without-sin_2,Save Swanson from the train
66,Horseshoe Overlook,who-is-not-without-sin_3,Greet gang members while still carrying Swanson
67,Horseshoe Overlook,who-is-not-without-sin_end,
68,Horseshoe Overlook,polite-society-valentine-style,"One morning, wake up Uncle and take the girls to Valentine"
69,Valentine,polite-society-valentine-style_0,"Chase man who recognises you, save from falling"
70,Valentine,polite-society-valentine-style_1,Return horse to owner
71,Valentine,polite-society-valentine-style_end,
72,Horseshoe Overlook,polite-society-valentine-style_post_0,Read journal about trip to Valentine
73,Horseshoe Overlook,polite-society-valentine-style_post_1,Tell Dutch about man in Valentine recognising you
74,Horseshoe Overlook,polite-society-valentine-style_post_2,"Talk to Karen, Tilly, and Mary-Beth about trip to Valentine"
75,Valentine,good-honest-snake-oil,"Talk to the Sheriff, learn about wanted posters"
76,Valentine,good-honest-snake-oil_0,"Capture Allbright alive, return to the sheriff"
77,Valentine,good-honest-snake-oil_end,
78,Valentine,americans-at-rest,"Find Javier at the main saloon bar, get into a fight"
,Valentine,the-noblest-of-men-and-a-woman-part-one,"Enter Keane's Saloon, meet Theodore Levin"
79,Valentine,americans-at-rest_end,
,Valentine,the-noblest-of-men-and-a-woman-part-one_end,
80,Rhodes,billy-midnight,"Speak to station clerk, get on train, duel Billy Midnight, take photo"
,Bluewater Marsh,black-belle,Help Black Belle defend her home
,Cairn Lake,flaco-hernandez,"Clean out gang members, duel Flaco Hernandez, take photo"
,Blackwater,the-first-shall-be-last,"Meet Javier, rescue Sean"
81,Saint Denis,billy-midnight_end,
,Bluewater Marsh,black-belle_end,
,Cairn Lake,flaco-hernandez_end,
,Big Valley,the-first-shall-be-last_end,
82,Horseshoe Overlook,the-first-shall-be-last_post_0,"Celebrate Sean's return, catch Karen and Sean going to a tent together"
83,Horseshoe Overlook,exit-pursued-by-a-bruised-ego,"One morning, talk to Hosea"
,Horseshoe Overlook,fire-arrows,Talk to Charles when he is making fire arrows
,Horseshoe Overlook,fire-bottles,Talk to Sean while he is making fire bottles
,Horseshoe Overlook,hunt-bison,Talk to Charles while he is sharpening his knife
84,Horseshoe Overlook,exit-pursued-by-a-bruised-ego_0,"Ride with Hosea to Valentine, sell horse, then go hunting"
,Horseshoe Overlook,fire-arrows_0,Buy/loot moonshine
,Horseshoe Overlook,fire-bottles_0,Buy/loot a bottle of Kentucky Bourbon
,Horseshoe Overlook,hunt-bison_0,"Hunt a bison, let the poacher go, loot the camp"
85,Horseshoe Overlook,exit-pursued-by-a-bruised-ego_1,Attack but don't kill the legendary bear
,Horseshoe Overlook,fire-arrows_end,
,Horseshoe Overlook,fire-bottles_end,
,The Heartlands,hunt-bison_end,
86,Horseshoe Overlook,fire-bottles_post_0,Give Sean the bottle of bourbon
87,Horseshoe Overlook,fire-arrows_post_0,Give Charles the moonshine
88,O'Creagh's Run,exit-pursued-by-a-bruised-ego_end,
89,Scarlett Meadows,coyote-fang-trinket,Kill the legendary coyote
,Rhodes,fox-claw-trinket,"Go north of the fence, kill the legendary fox"
,Horseshoe Overlook,money-lending-and-other-sins-part-one,One morning speak to Strauss to identify first three debtors
,Horseshoe Overlook,poison-arrows,Talk to Charles when he is making poison arrows
90,Scarlett Meadows,coyote-fang-trinket_end,
,Rhodes,fox-claw-trinket_end,
,Horseshoe Overlook,money-lending-and-other-sins-part-one_end,
,Horseshoe Overlook,poison-arrows_0,Pick oleander sage
91,Guthrie Farm,money-lending-and-other-sins-part-one_post_0,Get money from Chick Matthews
92,Emerald Ranch,money-lending-and-other-sins-part-one_post_2,Get money from Lilly Millet
93,Limpany,limpany,Loot Limpany (gold bar in sherrif's lockbox)
,Horseshoe Overlook,poison-arrows_end,
94,Horseshoe Overlook,poison-arrows_post_0,Give Charles the oleander
95,Limpany,limpany_end,
,Emerald Ranch,the-spines-of-america,"One fine morning, speak to Hosea, and go steal back a stagecoach"
96,Emerald Ranch,the-spines-of-america_0,Break into Carmody Dell in the day
97,Emerald Ranch,the-spines-of-america_end,
98,Fence,fox-claw-trinket_post_0,Get the fox claw trinket at a fence (raises eagle eye duration)
99,Fence,beaver-tooth-trinket_post_0,Get the beaver tooth trinket at a fence (slows weapon degradation)
100,Fence,elk-antler-trinket_post_0,Get the elk antler trinket at a fence (raises money from looting)
101,Fence,coyote-fang-trinket_post_0,Get the coyote fang trinket at a fence (dead eye XP gain)
102,Fence,buck-antler-trinket_post_0,Get the buck antler trinket at a fence (higher quality parts from animals)
103,Painted Sky,money-lending-and-other-sins-part-one_post_1,Get money from Wrobel
104,Horseshoe Overlook,a-quiet-time,"One evening before sunset, talk to Dutch at his tent"
105,Valentine,a-quiet-time_0,Take Lenny to Valentine for a drink
106,Valentine,a-quiet-time_1,Catch Lenny in the act when searching for the third time
107,Valentine,a-quiet-time_end,
108,Horseshoe Overlook,five-finger-fillet-with-lenny,"One morning, talk to Lenny at the table"
,Horseshoe Overlook,paying-a-social-call,"One morning, talk to Kieran"
,Horseshoe Overlook,pocket-watch,"Listen to Lenny during nighttime campfire talk, he will mention a pocket watch"
109,Horseshoe Overlook,five-finger-fillet-with-lenny_end,
,Horseshoe Overlook,paying-a-social-call_0,"Follow Kieran to Six Point Cabin, kill some O'Driscolls, escape the law"
,Vetter's Echo,pocket-watch_0,Loot the pocket watch
110,Six Point Cabin,paying-a-social-call_end,
,Horseshoe Overlook,pocket-watch_end,
111,Horseshoe Overlook,pocket-watch_post_0,Give Lenny the pocket watch
112,Horseshoe Overlook,paying-a-social-call_post_0,Read about shotgun in journal
113,Horseshoe Overlook,we-loved-once-and-true-part-one,Read letter from Mary
114,Horseshoe Overlook,we-loved-once-and-true-part-one_end,
115,Valentine,we-loved-once-and-true-part-one_post_0,"Meet Mary in Valentine (be sure to have a hat on), choose to help Jamie"
116,Cumberland Forest,we-loved-once-and-true-part-three,Find the Chelonians atop the hill
117,Cumberland Forest,we-loved-once-and-true-part-three_0,Respond positively to the leader to talk to Jamie
118,Cumberland Forest,we-loved-once-and-true-part-three_1,"Stop Jamie committing suicide, return him to Valentine"
119,Valentine,we-loved-once-and-true-part-three_end,
120,Horseshoe Overlook,money-lending-and-other-sins-part-three,Put a recovered debt in the camp box
121,Horseshoe Overlook,money-lending-and-other-sins-part-three_0,Try to get money from Thomas Downes
122,Horseshoe Overlook,money-lending-and-other-sins-part-three_1,Return to Strauss
123,Horseshoe Overlook,money-lending-and-other-sins-part-three_end,
124,Horseshoe Overlook,a-fisher-of-men,Talk to Abigail one morning
,Horseshoe Overlook,rob-chez-porter,"One morning, talk to Javier"
125,Horseshoe Overlook,a-fisher-of-men_0,"Take Jack (slowly) to the river, show him how to fish"
,Horseshoe Overlook,rob-chez-porter_0,"Kill everyone, loot everything"
126,Horseshoe Overlook,a-fisher-of-men_end,
,Chez Porter,rob-chez-porter_end,
127,Osman Grove,fountain-pen_post_0,Get fountain pen for Mary-Beth from cabin
128,Osman Grove,penny-dreadful,Jack's Penny Dreadful
,Horseshoe Overlook,pouring-forth-oil-part-one,"Speak to Susan, go find John"
129,Osman Grove,penny-dreadful_0,Get penny dreadful for Jack from cabin
,Horseshoe Overlook,pouring-forth-oil-part-one_0,"Steal oil wagon from Cornwall, take to hiding spot"
130,Osman Grove,penny-dreadful_end,
,Old Trail Rise,pouring-forth-oil-part-one_end,
131,Osman Grove,penny-dreadful_post_0,Give Jack penny dreadful
132,Horseshoe Overlook,pouring-forth-oil-part-three,"Speak to John, refresh your weapons and go meet the gang"
133,Horseshoe Overlook,pouring-forth-oil-part-three_0,"Steal oil wagon from Cornwall, take to hiding spot"
134,The Heartlands,pouring-forth-oil-part-three_end,
135,Strawberry,blessed-are-the-meek,"Break Micah out of jail, shoot up the place"
136,Lone Mule Stead,blessed-are-the-meek_end,
137,Valentine,the-sheep-and-the-goats,Meet John by the station
138,Valentine,the-sheep-and-the-goats_0,"Go get a sniper rifle, rustle some sheep, try to sell them"
139,Valentine,the-sheep-and-the-goats_1,"Meet Dutch at the saloon, get into a fight, escape the law"
140,The Heartlands,the-sheep-and-the-goats_end,
141,Monto's Rest,an-american-pastoral-scene,"Talk to Micah, help rob a stagecoach"
142,Dakota River,an-american-pastoral-scene_end,
143,Horseshoe Overlook,a-strange-kindness,"One morning, walk into Dutch's tent while he's arguing with Hosea"
144,Horseshoe Overlook,a-strange-kindness_0,Investigate Dewberry Creek
145,Clemens Point,a-strange-kindness_end,
146,Clemens Point,chapter-3,Chapter 3
147,Clemens Point,chapter-3_end,
148,Clemens Point,a-strange-kindness_post_0,Overhear Hosea at campfire saying '…if you stare into the fire…'
149,Emerald Station,arcadia-for-amateurs-part-three,Help Mason photograph some horses
,Braithwaite Manor,braithwaites-secret,Find the outhouse near Braithwaite Manor
,Clemens Point,burdock,Talk to Kieran when he is brushing horses
,Clemens Point,ginseng,Talk to Hosea when he is grinding herbs
,Lemoyne,hes-british-of-course,Help Margaret get back his exotic animals
,Clemens Point,lorena,Catch Karen singing Lorena one evening
,Clemens Point,money-lending-and-other-sins-part-four,"One morning, talk to Strauss"
,Clemens Point,naval-compass,"While playing poker, Pearson will mention a compass"
,Clemens Point,necklace,"Play dominoes with Tilly, she'll mention a necklace"
,Clemens Point,pocket-mirror,Molly will randomly speak to you and ask for pocket mirror
,Clemens Point,rob-coach-with-sean,"One morning, talk to Sean"
,Clemens Point,rob-lonnies-shack,Talk to Sean
,Clemens Point,the-new-south,"One morning, speak to Dutch by the lake"
,Van Horn,the-smell-of-the-grease-paint,"Enter the saloon, fight Bertram"
,Clemens Point,white-rabbit,Try to oversee Sean and Jack finding a dead white rabbit (foreshadowing)
150,Emerald Station,arcadia-for-amateurs-part-three_end,
,Braithwaite Manor,braithwaites-secret_end,
,Clemens Point,burdock_0,Pick at least two Burdock Root
,Clemens Point,ginseng_0,Pick at least two American Ginseng
,Lemoyne,hes-british-of-course_end,
,Clemens Point,lorena_end,
,Clemens Point,money-lending-and-other-sins-part-four_end,
,Clemens Point,naval-compass_0,Loot the compass from the Braithwaite Manor boathouse
,Clemens Point,necklace_0,Loot a necklace
,Martha's Swain,pocket-mirror_0,Get pocket mirror for Molly from cabin
,Clemens Point,rob-coach-with-sean_0,"Take too long, Mary-Beth will be taken hostage"
,Clemens Point,rob-lonnies-shack_0,"Rob Lonnie's Shack, don't kill the last outlaw"
,Clemens Point,the-new-south_0,"Ride out, come across wagon"
,Van Horn,the-smell-of-the-grease-paint_0,Go southwest to find Magnifico
,Clemens Point,white-rabbit_end,
151,Rhodes,money-lending-and-other-sins-part-four_post_0,"Meet Gwyn, dig up a body and stand guard"
152,Strawberry,money-lending-and-other-sins-part-four_post_1,"Meet Winton, kill the cougar in the cave"
153,Lemoyne,hes-british-of-course_post_0,Get the lion's paw trinket from a fence (raises stamina XP gain)
154,Lagras,arcadia-for-amateurs-part-four,Help Mason photograph some alligators
,Clemens Point,burdock_end,
,Clemens Point,ginseng_end,
,Braithwaite Manor,naval-compass_end,
,Clemens Point,necklace_end,
,Martha's Swain,pocket-mirror_end,
,Face Rock,rob-coach-with-sean_end,
,Lonnie's Shack,rob-lonnies-shack_end,
,Clemens Point,the-new-south_1,"Board train, knock out Andersons, return Anders to sheriff"
,Van Horn,the-smell-of-the-grease-paint_end,
155,Clemens Point,burdock_post_0,Give Kieran the burdock
156,Clemens Point,ginseng_post_0,Give Hosea the ginseng
157,Clemens Point,naval-compass_post_0,Give Pearson the compass
158,Clemens Point,necklace_post_0,Give Tilly the necklace
159,Clemens Point,pocket-mirror_post_0,Give Molly pocket mirror
160,Saint Denis,the-smell-of-the-grease-paint_post_0,"Watch the show at the Vaudeville Theatre, collect reward"
161,Clemens Point,rob-coach-with-sean_post_0,Talk to Mary-Beth about the stagecoach robbery experience
162,Lagras,arcadia-for-amateurs-part-four_end,
,Clemens Point,rob-coach-with-bill,"One morning, talk to Bill as he's looking at the paper"
,Clemens Point,the-new-south_2,Go fishing with Dutch and Hosea
163,Horseshoe Overlook,arcadia-for-amateurs-part-five,Help Mason not fall off a cliff
,Clemens Point,rob-coach-with-bill_0,"Kill the guards, stop the coach, blow it open"
,Clemens Point,the-new-south_end,
164,Scarlett Meadows,american-distillation,Speak to Dutch in the Sheriff's office
,Horseshoe Overlook,arcadia-for-amateurs-part-five_end,
,Clemens Point,fishing-with-javier,"One morning, talk to Javier while he is sewing(?)"
,Clemens Point,fishing-with-kieran,"One morning, talk to Kieran while he is sitting with his rod"
,Riggs Station,high-stakes,"Find the treasure hunter between 10am-midday, rob him of his map"
,The Heartlands,rob-coach-with-bill_end,
165,Scarlett Meadows,american-distillation_0,Accompany the wagon
,Clemens Point,fishing-with-javier_0,"Fail to catch fish, get crickets, say goodbye to Javier"
,Clemens Point,fishing-with-kieran_0,"Start fishing, speak to the nude swimmer, try to catch the legendary fish"
,Cumberland Falls,high-stakes_0,Get the second treasure map
166,Scarlett Meadows,american-distillation_1,Kill the moonshiners
,Ringneck Creek,fishing-with-javier_end,
,Radley's Pasture,fishing-with-kieran_end,
,Barrow Lagoon,high-stakes_1,Get the third treasure map
167,Scarlett Meadows,american-distillation_2,Win the race back to camp
,Fort Wallace,high-stakes_2,Get the treasure
168,Clemens Point,american-distillation_end,
,Riggs Station,high-stakes_end,
169,Clemens Point,further-questions-of-female-suffrage,"One morning, see Pearson and Sadie arguing"
,Rhodes,no-good-deed,"Find the doctor sitting by the Mill, return his wagon"
170,Clemens Point,further-questions-of-female-suffrage_0,"Take Sadie to Rhodes, follow her into the store"
,Rhodes,no-good-deed_end,
171,Clemens Point,further-questions-of-female-suffrage_1,Shoot up the Lemoyne Raiders on the way back
172,Clemens Point,further-questions-of-female-suffrage_end,
173,Granger's Hoggery,emmet-granger,"Do chores for Emmet Granger, duel him, take photo"
,Caliga Hall,the-course-of-true-love-part-one,Speak to Beau
174,Granger's Hoggery,emmet-granger_end,
,Caliga Hall,the-course-of-true-love-part-one_0,"Sneak into Braithwaite Manor, give Penelope letter and gift"
175,Granger's Hoggery,harmonica,Sadie's Harmonica
,Braithwaite Manor,the-course-of-true-love-part-one_end,
176,Clemens Point,advertising-the-new-american-art,Abigail tells Arthur to meet Hosea and John at the moonshine stash
,Granger's Hoggery,harmonica_0,Get harmonica for Sadie from cabin
177,Clemens Point,advertising-the-new-american-art_0,Accompany Hosea to Braithwaite Manor to sell the moonshine
,Granger's Hoggery,harmonica_end,
178,Clemens Point,harmonica_post_0,Give Sadie harmonica
179,Clemens Point,advertising-the-new-american-art_1,"Sell moonshine in the Rhodes saloon, fight your way out of Rhodes"
180,Clemens Point,advertising-the-new-american-art_end,
181,Caliga Hall,horse-flesh-for-dinner,Ask the guards where Javier and John are
182,Caliga Hall,horse-flesh-for-dinner_0,"Talk your way into the stable, wait for the stablehand to describe all three horses so Javier knocks him out"
183,Caliga Hall,horse-flesh-for-dinner_1,"Steal the horses from the stables, and go sell them"
184,Clemens Point,horse-flesh-for-dinner_end,
185,Clemens Point,magicians-for-sport,"One morning, Arthur speaks to dutch about bounty hunters"
186,Clemens Point,magicians-for-sport_0,"Investigate Trelawny's caravan, interrogate the men"
187,Clemens Point,magicians-for-sport_1,"Kill the bounty hunters, taking care to loot them and get the rare sniper rifle"
188,Rhodes,magicians-for-sport_end,
189,Clemens Point,an-honest-mistake,"Molly calls Arthur over to talk to him, but Uncle interrupts"
190,Clemens Point,an-honest-mistake_0,"Go to rob the stagecoach, lose fight, hide in outhouse"
191,Clemens Point,an-honest-mistake_1,"Fight Cornwall's men, saving Uncle who gets overpowered"
192,Scarlett Meadows,an-honest-mistake_end,
193,Clemens Point,preaching-forgiveness-as-he-went,"One morning, speak to Lenny by the lake"
,Rhodes,the-iniquities-of-history,Talk to Compson outside the station
194,Clemens Point,preaching-forgiveness-as-he-went_0,"Investigate Shady Belle, fight the Lemoyne Raiders"
,Rhodes,the-iniquities-of-history_0,"Break into his home, steal items"
195,Clemens Point,preaching-forgiveness-as-he-went_end,
,Rhodes,the-iniquities-of-history_1,"Return to Compson, burn his things, shoot him"
196,Clemens Point,friends-in-very-low-places,Talk to Trelawny at camp
,Compson's Stead,the-iniquities-of-history_end,
197,Clemens Point,friends-in-very-low-places_0,"Go to the Rhodes station, talk to Alden"
198,Clemens Point,friends-in-very-low-places_1,"Ride to the stagecoach, rob it"
199,Siltwater Strand,friends-in-very-low-places_end,
200,Caliga Hall,the-course-of-true-love-part-three,Speak to Beau
201,Caliga Hall,the-course-of-true-love-part-three_0,"Sneak into Braithwaite Manor, give Penelope letter and gift"
202,Bolger Glade,the-course-of-true-love-part-three_end,
203,Braithwaite Manor,the-fine-joys-of-tobacco,Arthur meets Hosea at Braithwaite Manor
204,Braithwaite Manor,the-fine-joys-of-tobacco_0,Accompany Sean with the moonshine to Caliga Hall
205,Braithwaite Manor,the-fine-joys-of-tobacco_1,"Kill the guard silently, burn the tobacco, kill the guards, escape"
206,Clemens Point,the-fine-joys-of-tobacco_end,
207,Clemens Point,sodom-back-to-gomorrah,"One morning, speak to Bill and Karen"
208,Clemens Point,sodom-back-to-gomorrah_0,"Rob the bank in Valentine, cracking the safes"
209,Clemens Point,sodom-back-to-gomorrah_1,Go to the Downes Ranch to collect the debt
210,Clemens Point,sodom-back-to-gomorrah_end,
211,Clemens Point,blessed-are-the-peacemakers,"One morning, talk to Micah at Dutch's tent"
212,Clemens Point,blessed-are-the-peacemakers_0,"Accompany Dutch and Micah to a meet, get captured"
213,Clemens Point,blessed-are-the-peacemakers_1,"Break free, retrieve guns, kill O'Driscolls"
214,Clemens Point,blessed-are-the-peacemakers_2,"Escape on foot, collapse cutscene, horse returns you to camp"
215,Clemens Point,blessed-are-the-peacemakers_end,
216,Rhodes,a-short-walk-in-a-pretty-town,"Meet Micah, Bill, and Sean"
217,Rhodes,a-short-walk-in-a-pretty-town_0,Note the station and town are devoid of people (because of ambush)
218,Rhodes,a-short-walk-in-a-pretty-town_1,"Get ambushed, kill the Grays"
219,Scarlett Meadows,a-short-walk-in-a-pretty-town_end,
220,Clemens Point,blood-feuds-ancient-and-modern,Talk to Abigail
